時間,CO2(ppm),PM2.5(μg/m³)
2025-04-28 09:36:30,759.6,14.63
2025-04-28 09:37:05,757.6,14.97
2025-04-28 09:37:39,757.6,15.52
2025-04-28 09:38:13,754.6,14.35
2025-04-28 09:38:47,757.6,14.8
2025-04-28 09:39:21,760.6,14.27
2025-04-28 09:39:56,762.6,14.2
2025-04-28 09:40:30,763.6,14.77
2025-04-28 09:41:04,762.6,14.55
2025-04-28 09:41:38,763.6,14.71
2025-04-28 09:42:12,763.6,14.19
2025-04-28 09:42:47,764.6,14.6
2025-04-28 09:43:21,764.6,14.34
2025-04-28 09:43:55,763.6,14.28
2025-04-28 09:44:29,763.6,14.47
2025-04-28 09:45:03,767.6,14.8
2025-04-28 09:45:38,767.6,15.02
2025-04-28 09:46:12,767.6,14.57
2025-04-28 09:46:46,768.6,13.77
2025-04-28 09:47:20,768.6,14.11
2025-04-28 09:47:37,770.6,14.19
2025-04-28 09:48:11,770.6,14.44
2025-04-28 09:48:45,771.6,14.36
2025-04-28 09:49:19,771.6,14.04
2025-04-28 09:49:53,773.6,13.86
2025-04-28 09:50:28,776.6,13.58
2025-04-28 09:51:02,776.6,13.54
2025-04-28 09:51:36,777.6,14.36
2025-04-28 09:53:03,778.6,13.39
2025-04-28 09:53:37,781.6,14.18
2025-04-28 09:53:55,782.6,14.29
2025-04-28 09:54:29,783.6,14.11
2025-04-28 09:55:04,786.6,14.46
2025-04-28 09:55:27,785.6,13.64
2025-04-28 09:56:02,785.6,13.84
2025-04-28 09:56:36,786.6,14.09
2025-04-28 09:57:10,786.6,14.37
2025-04-28 09:57:44,789.6,13.35
2025-04-28 09:58:18,789.6,14.84
2025-04-28 09:58:53,789.6,13.77
2025-04-28 09:59:27,792.6,13.28
2025-04-28 10:00:01,795.6,14.42
2025-04-28 10:00:35,795.6,14.39
2025-04-28 10:01:10,796.6,13.97
2025-04-28 10:01:44,797.6,14.65
2025-04-28 10:02:18,797.6,14.24
2025-04-28 10:02:52,799.6,13.17
2025-04-28 10:03:26,800.6,13.64
2025-04-28 10:04:01,802.6,14.09
2025-04-28 10:04:35,803.6,14.25
2025-04-28 10:05:09,804.6,13.82
2025-04-28 10:05:43,805.6,14.04
2025-04-28 10:06:17,807.6,14.04
2025-04-28 10:06:52,807.6,14.16
2025-04-28 10:07:26,808.6,13.49
2025-04-28 10:08:00,807.6,13.79
2025-04-28 10:08:34,807.6,13.73
2025-04-28 10:09:08,808.6,13.88
2025-04-28 10:09:17,809.6,13.97
2025-04-28 10:09:51,812.6,13.76
2025-04-28 10:10:25,819.6,14.23
2025-04-28 10:11:00,824.6,14.68
2025-04-28 10:11:34,827.6,13.27
2025-04-28 10:12:08,827.6,13.4
2025-04-28 10:12:42,827.6,13.96
2025-04-28 10:13:16,828.6,13.06
2025-04-28 10:20:07,821.6,13.77
2025-04-28 10:20:41,821.6,14.1
2025-04-28 10:21:15,821.6,13.59
2025-04-28 10:21:49,820.6,14.28
2025-04-28 10:22:23,819.6,14.2
2025-04-28 10:22:57,818.6,14.35
2025-04-28 10:23:32,818.6,14.11
2025-04-28 10:24:06,817.6,13.86
2025-04-28 10:24:40,817.6,14.04
2025-04-28 10:25:14,815.6,13.37
2025-04-28 10:25:48,813.6,14.65
2025-04-28 10:26:23,809.6,13.87
2025-04-28 10:26:57,810.6,13.91
2025-04-28 10:27:31,810.6,14.09
2025-04-28 10:28:05,816.6,14.42
2025-04-28 10:28:39,819.6,14.25
2025-04-28 10:29:14,819.6,14.04
2025-04-28 10:29:48,821.6,13.89
2025-04-28 10:30:22,822.6,13.56
2025-04-28 10:30:56,820.6,13.71
2025-04-28 10:31:30,821.6,14.36
2025-04-28 10:32:05,823.6,14.05
2025-04-28 10:32:39,823.6,14.04
2025-04-28 10:33:13,824.6,14.42
2025-04-28 10:33:47,826.6,13.9
2025-04-28 10:34:21,829.6,14.02
2025-04-28 10:34:55,832.6,14.12
2025-04-28 10:35:10,833.6,14.18
2025-04-28 10:35:44,833.6,14.27
2025-04-28 10:35:58,833.6,14.24
2025-04-28 10:36:24,834.6,13.99
2025-04-28 10:36:58,834.6,14.52
2025-04-28 10:37:57,837.6,17.06
2025-04-28 10:40:23,848.6,14.96
2025-04-28 10:41:02,846.6,15.15
2025-04-28 10:41:38,844.6,17.21
2025-04-28 10:42:15,843.6,20.89
2025-04-28 10:42:51,844.6,20.33
2025-04-28 10:43:28,845.6,19.83
