時間,CO2(ppm),PM2.5(μg/m³)
2025-04-23 09:56:48,804.7,20.98
2025-04-23 09:57:21,989.6,45.8
2025-04-23 09:57:54,889.9,43.44
2025-04-23 09:58:27,605.7,46.44
2025-04-23 09:59:00,696.2,29.05
2025-04-23 09:59:34,897.0,31.95
2025-04-23 10:00:07,571.0,21.6
2025-04-23 10:00:40,758.6,40.63
2025-04-23 10:01:13,716.1,21.68
2025-04-23 10:01:46,600.1,28.17
2025-04-23 10:02:21,890.2,34.03
2025-04-23 10:02:54,767.4,24.17
2025-04-23 10:03:26,637.2,40.6
2025-04-23 10:03:59,936.8,29.86
2025-04-23 10:04:32,998.0,49.83
2025-04-23 10:05:05,935.2,10.15
2025-04-23 10:05:38,768.1,17.84
2025-04-23 10:06:11,417.4,25.21
2025-04-23 10:06:44,576.8,31.22
2025-04-23 10:07:18,665.0,20.95
2025-04-23 10:07:52,896.8,30.24
2025-04-23 10:08:25,587.8,14.61
2025-04-23 10:08:59,607.0,25.31
2025-04-23 10:09:31,588.9,18.83
2025-04-23 10:10:06,733.7,34.81
2025-04-23 10:10:39,978.7,18.28
2025-04-23 10:11:12,713.7,49.33
2025-04-23 10:11:45,902.2,42.42
2025-04-23 10:12:17,726.0,39.31
2025-04-23 10:12:50,806.0,35.46
2025-04-23 10:13:23,846.9,46.8
2025-04-23 10:13:56,765.7,45.73
2025-04-23 10:14:29,819.9,33.17
2025-04-23 10:15:02,586.6,26.18
2025-04-23 10:15:35,797.5,12.06
2025-04-23 10:16:08,501.4,26.49
2025-04-23 10:16:40,912.5,42.41
2025-04-23 10:17:13,510.3,28.36
2025-04-23 10:17:46,556.3,19.74
2025-04-23 10:18:19,405.4,19.17
2025-04-23 10:18:52,661.9,12.09
2025-04-23 10:19:25,765.9,16.3
2025-04-23 10:20:00,898.2,29.93
2025-04-23 10:20:34,612.5,34.03
2025-04-23 10:21:07,658.8,19.58
2025-04-23 10:21:40,479.1,46.26
2025-04-23 10:22:13,923.0,49.38
2025-04-23 10:22:45,997.0,25.18
2025-04-23 10:23:18,632.4,12.49
2025-04-23 10:23:51,657.9,13.31
2025-04-23 10:24:24,837.3,48.89
2025-04-23 10:24:57,479.8,39.66
2025-04-23 10:25:30,752.4,18.56
2025-04-23 10:26:03,751.5,27.3
2025-04-23 10:26:36,658.7,14.34
2025-04-23 10:27:09,749.9,21.32
2025-04-23 10:27:42,527.3,15.72
2025-04-23 10:28:15,945.3,25.56
2025-04-23 10:28:48,755.3,37.86
2025-04-23 10:29:20,523.3,40.83
2025-04-23 10:29:53,841.2,37.13
2025-04-23 10:30:26,627.2,20.22
2025-04-23 10:30:59,678.7,35.64
