時間,CO2(ppm),PM2.5(μg/m³)
2025-04-24 09:26:17,905.0,16.37
2025-04-24 09:26:55,483.2,22.9
2025-04-24 09:27:30,767.7,34.13
2025-04-24 09:28:03,565.2,40.79
2025-04-24 09:28:36,754.4,14.0
2025-04-24 09:29:09,737.4,22.17
2025-04-24 09:29:45,780.2,21.07
2025-04-24 09:30:19,901.9,25.81
2025-04-24 09:30:53,889.0,10.8
2025-04-24 09:31:26,550.0,14.13
2025-04-24 09:32:01,458.4,45.87
2025-04-24 09:32:34,594.7,22.71
2025-04-24 09:33:08,870.8,39.21
2025-04-24 09:33:41,489.2,42.21
2025-04-24 09:34:18,883.3,24.26
2025-04-24 09:34:52,852.3,46.34
2025-04-24 09:35:25,889.4,38.89
2025-04-24 09:35:58,916.3,20.29
2025-04-24 09:36:33,841.8,24.95
2025-04-24 09:37:07,563.6,39.72
2025-04-24 09:37:40,632.3,27.59
2025-04-24 09:38:13,852.7,17.95
2025-04-24 09:38:49,775.1,18.22
2025-04-24 09:39:23,578.6,38.79
2025-04-24 09:39:56,792.8,39.8
2025-04-24 09:40:35,460.6,24.47
2025-04-24 09:41:09,707.4,18.15
2025-04-24 09:41:43,400.4,12.76
2025-04-24 09:42:17,432.1,46.86
2025-04-24 09:42:51,613.3,18.05
2025-04-24 09:43:24,401.0,26.76
2025-04-24 09:43:59,544.0,14.68
2025-04-24 09:44:32,982.4,42.0
2025-04-24 09:45:05,704.1,36.84
2025-04-24 09:45:38,620.6,48.97
2025-04-24 09:46:11,475.9,31.75
2025-04-24 09:46:45,851.5,17.91
2025-04-24 09:47:18,767.8,34.03
2025-04-24 09:47:50,484.9,44.34
2025-04-24 09:48:24,737.4,46.48
2025-04-24 09:48:57,558.5,30.92
2025-04-24 09:49:30,933.5,40.94
2025-04-24 09:50:03,736.8,21.3
2025-04-24 09:50:37,783.0,20.71
2025-04-24 09:51:11,685.7,48.18
2025-04-24 09:51:45,411.1,45.75
2025-04-24 09:52:18,590.4,11.38
2025-04-24 09:52:51,614.1,31.53
2025-04-24 09:53:25,779.8,10.8
2025-04-24 09:53:59,879.0,13.48
2025-04-24 09:54:32,717.6,32.62
2025-04-24 09:55:05,458.6,48.58
2025-04-24 09:55:38,568.0,31.81
2025-04-24 09:56:11,412.5,10.95
2025-04-24 09:56:45,435.7,12.76
2025-04-24 09:57:18,504.8,31.42
2025-04-24 09:57:51,719.4,11.93
2025-04-24 09:58:24,864.9,26.97
2025-04-24 09:58:57,469.5,27.44
2025-04-24 09:59:30,481.2,12.94
2025-04-24 10:00:03,676.8,34.45
2025-04-24 10:00:37,772.4,33.22
2025-04-24 10:01:10,738.6,32.85
2025-04-24 10:01:43,461.8,42.11
2025-04-24 10:02:16,449.5,21.98
2025-04-24 10:02:50,729.5,32.38
2025-04-24 10:03:23,880.6,25.22
2025-04-24 10:03:57,957.1,20.88
2025-04-24 10:04:30,671.7,46.11
2025-04-24 10:05:03,939.9,33.61
2025-04-24 10:05:36,458.1,31.08
